"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 26 17:24:34 GMT 2023","Thu Jan 26 17:24:38 GMT 2023","4067","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Thu Jan 26 17:24:32 GMT 2023","Thu Jan 26 17:24:34 GMT 2023","2048","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Thu Jan 26 17:24:42 GMT 2023","Thu Jan 26 17:24:45 GMT 2023","2806","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Thu Jan 26 17:24:38 GMT 2023","Thu Jan 26 17:24:42 GMT 2023","3835","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Thu Jan 26 17:24:34 GMT 2023","Thu Jan 26 17:24:34 GMT 2023","4","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Jan 26 17:24:34 GMT 2023","Thu Jan 26 17:24:34 GMT 2023","6","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Jan 26 17:24:27 GMT 2023","Thu Jan 26 17:24:32 GMT 2023","4889","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
