"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 26 16:07:24 GMT 2023","Thu Jan 26 16:07:26 GMT 2023","2638","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testLambdaStep","testLambdaStep()",""
"passed","Thu Jan 26 16:07:21 GMT 2023","Thu Jan 26 16:07:24 GMT 2023","2730","","qa.guru.allure.StepsTest","","qa.guru.allure.StepsTest","testAnnotatedStep","testAnnotatedStep()",""
"passed","Thu Jan 26 16:07:18 GMT 2023","Thu Jan 26 16:07:21 GMT 2023","3190","","qa.guru.allure.SelenideTest","","qa.guru.allure.SelenideTest","testIssueSearch","testIssueSearch()",""
"passed","Thu Jan 26 16:07:12 GMT 2023","Thu Jan 26 16:07:16 GMT 2023","3852","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testLambdaAttachments","testLambdaAttachments()",""
"passed","Thu Jan 26 16:07:18 GMT 2023","Thu Jan 26 16:07:18 GMT 2023","2","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testDynamicLabels","Создание Issue для авторизованного пользователя",""
"passed","Thu Jan 26 16:07:16 GMT 2023","Thu Jan 26 16:07:18 GMT 2023","1335","","qa.guru.allure.AttachmentsTest","","qa.guru.allure.AttachmentsTest","testAnnotatedAttachments","testAnnotatedAttachments()",""
"passed","Thu Jan 26 16:07:18 GMT 2023","Thu Jan 26 16:07:18 GMT 2023","1","","qa.guru.allure.LabelsTest","","qa.guru.allure.LabelsTest","testStaticLabels","Создание Issue для авторизованного пользователя",""
